code,text,compound,sentiment
0,literalmente hoy me vest  hermoso pero se larg  a llover y no puedo lucirlo  me voy a casa y ma ana se usa de nuevo  ,-0.296,negative
1,  yami                        ,0.0,neutral
2,  i m in north carolina  usa  i honestly love all the modes  sometimes i want it flat and other times i see mys   ,0.8176,positive
3,  peplowski          w zupe no ci si  z tob  zgadzam  nawet abstrahuj c   ,-0.296,negative
4,  es que est n acostumbrados a trabajar de lunes a viernes y hasta las 5pm  y aqu  en usa nada se pa   ,0.0,neutral
5,luiza usa coleira de cachorro ate hj,0.0,neutral
6,usa limited edition 21 oz standard mouth  price 1200thb                                                              ,-0.2263,negative
7,    his agenda since days in  reagan administration    constitutional rights not supposed   ,0.0,neutral
8,   dando per scontato che mezzi pubblici e metro  diokovid li usa come  ivana trump     ,0.0,neutral
9,petition and demand for reform of stalker regulation    uk  usa gang stalking ffchs electronic harassment v2k  sos,-0.6124,negative
10,  vendido   se va hasta usa   ,0.0,neutral
11,       is us really more powerful   consumerist usa moved all factories to china since   ,0.5222,positive
12,literalmente siento que me usa    ,0.0,neutral
13,  usa a manuela    ,0.0,neutral
14,    tx threats  amp  violence will continue as the     jordan       ,-0.6597,negative
15,vagabundo usa corega   ,0.0,neutral
16,ahahahahaha n o aguento thiago religioso    usa o dom que deus te deu  o dom  ser fofoqueira  ,0.0,neutral
17,usa  rogo in una casa di philadelphia  13 vittime tra cui 7 bambini   philadelphia    ,0.0,neutral
18,viendo c mo la maestra usa de muestra tu normogotero y ves  250 en la basura     ,0.0,neutral
19,             ,0.0,neutral
20,  claro  y si estuvi ramos en 2018 tambi n  pero son en usa y estamos en 2021 ,0.0,neutral
21,para de falar mal de quem usa cropped e shorts  ta 30 graus c  de gelo,0.0,neutral
22,  usa o google drive  faz upload e edita ,0.0,neutral
23,  hace 4 a os  antes de aprobarse la ley de ordenaci n territorial y urbanismo sostenible  lo   ,0.0,neutral
24,o delineado que a princesa usa pra trabalhar  ,0.0,neutral
25,  wish this would work in the usa  we have a government that needs to resign too          ,0.0772,positive
26,miss earth usa 2022  ,-0.1531,negative
27,  acho super cult quem usa,0.5994,positive
28,  jordan this tweet has not distracted me from the 1 6 violent  deadly attempt to overthrow the government of the usa ,-0.4337,negative
