code,text
0,literalmente hoy me vest  hermoso pero se larg  a llover y no puedo lucirlo  me voy a casa y ma ana se usa de nuevo  
1,  yami                        
2,  i m in north carolina  usa  i honestly love all the modes  sometimes i want it flat and other times i see mys   
3,  peplowski          w zupe no ci si  z tob  zgadzam  nawet abstrahuj c   
4,  es que est n acostumbrados a trabajar de lunes a viernes y hasta las 5pm  y aqu  en usa nada se pa   
5,luiza usa coleira de cachorro ate hj
6,usa limited edition 21 oz standard mouth  price 1200thb                                                              
7,    his agenda since days in  reagan administration    constitutional rights not supposed   
8,   dando per scontato che mezzi pubblici e metro  diokovid li usa come  ivana trump     
9,petition and demand for reform of stalker regulation    uk  usa gang stalking ffchs electronic harassment v2k  sos
10,  vendido   se va hasta usa   
11,       is us really more powerful   consumerist usa moved all factories to china since   
12,literalmente siento que me usa    
13,  usa a manuela    
14,    tx threats  amp  violence will continue as the     jordan       
15,vagabundo usa corega   
16,ahahahahaha n o aguento thiago religioso    usa o dom que deus te deu  o dom  ser fofoqueira  
17,usa  rogo in una casa di philadelphia  13 vittime tra cui 7 bambini   philadelphia    
18,viendo c mo la maestra usa de muestra tu normogotero y ves  250 en la basura     
19,             
20,  claro  y si estuvi ramos en 2018 tambi n  pero son en usa y estamos en 2021 
21,para de falar mal de quem usa cropped e shorts  ta 30 graus c  de gelo
22,  usa o google drive  faz upload e edita 
23,  hace 4 a os  antes de aprobarse la ley de ordenaci n territorial y urbanismo sostenible  lo   
24,o delineado que a princesa usa pra trabalhar  
25,  wish this would work in the usa  we have a government that needs to resign too          
26,miss earth usa 2022  
27,  acho super cult quem usa
28,  jordan this tweet has not distracted me from the 1 6 violent  deadly attempt to overthrow the government of the usa 
29,  opa galera nao usa mais a skill da hutao
30,  yo que vos me vuelvo a usa  ya cansaste  te quedaste sin cr dito 
31,  en vrai  a va un peu mieux aujourd hui m me si  a reste un peu s gr gu s entre noir mais   l  poque c    
32,  o que vende   campe o da cara bonitinha os monstrengo quase ningu m usa
33,  it s just a thought here so please don t go crazy at me  but i feel the  biden regime could be hidi   
34,pucha ahora ni agendas regalan  cuando te acostumbras a usar agenda es como el calz n  se usa todos los d as   
35,         usa por favor
36,in 2021 we     developed our branch in the usa    opened a new branch in india      hired almost 100 new employees   
37,  gop coups are not patriotic  they are crimes against the usa 
38,die  meldungen aus der  wissenschaft  forschende aus den usa haben ein hormon entdeckt  das  hnlich wie insulin den   
39,australija i demokratija   neka hvala il ga ne pusti  odmah a ne da se i ivljava  sramno pona anje  da li bi smeli nekom trniseru iz usa
40,2010 dodge ram 1500   export cars from usa   car for sale in online auto auction  
41,  want to flick a cat in its nuts   let s disrupt the mining space caterpillar has dominated  tesla mining   
42,        but don t get me wrong  usa is in somali longtime ago 
43,  usa  
44,    usa    too 
